produto_categoria,produto_categoria_ref
perfumaria,63
artes,3
esporte_lazer,32
bebes,9
utilidades_domesticas,73
instrumentos_musicais,46
cool_stuff,26
moveis_decoracao,55
eletrodomesticos,28
brinquedos,12
cama_mesa_banho,13
bebes,9
instrumentos_musicais,46
moveis_decoracao,55
construcao_ferramentas_seguranca,25
esporte_lazer,32
perfumaria,63
informatica_acessorios,45
moveis_decoracao,55
cama_mesa_banho,13
moveis_decoracao,55
cama_mesa_banho,13
beleza_saude,11
bebes,9
moveis_decoracao,55
utilidades_domesticas,73
malas_acessorios,51
informatica_acessorios,45
informatica_acessorios,45
esporte_lazer,32
cama_mesa_banho,13
ferramentas_jardim,40
moveis_decoracao,55
moveis_escritorio,56
esporte_lazer,32
bebes,9
automotivo,8
eletronicos,30
utilidades_domesticas,73
moveis_decoracao,55
moveis_decoracao,55
brinquedos,12
cama_mesa_banho,13
bebes,9
cool_stuff,26
brinquedos,12
cool_stuff,26
moveis_decoracao,55
moveis_decoracao,55
beleza_saude,11
esporte_lazer,32
cool_stuff,26
automotivo,8
bebes,9
malas_acessorios,51
fashion_calcados,34
telefonia,71
cool_stuff,26
papelaria,60
brinquedos,12
esporte_lazer,32
papelaria,60
beleza_saude,11
fashion_bolsas_e_acessorios,33
papelaria,60
papelaria,60
esporte_lazer,32
ferramentas_jardim,40
pcs,62
automotivo,8
casa_construcao,16
relogios_presentes,67
cool_stuff,26
construcao_ferramentas_construcao,21
pet_shop,64
beleza_saude,11
eletroportateis,31
perfumaria,63
relogios_presentes,67
agro_industria_e_comercio,0
beleza_saude,11
beleza_saude,11
cama_mesa_banho,13
ferramentas_jardim,40
perfumaria,63
instrumentos_musicais,46
cama_mesa_banho,13
cama_mesa_banho,13
moveis_decoracao,55
informatica_acessorios,45
esporte_lazer,32
beleza_saude,11
beleza_saude,11
esporte_lazer,32
telefonia,71
moveis_decoracao,55
automotivo,8
automotivo,8
relogios_presentes,67
cama_mesa_banho,13
moveis_decoracao,55
informatica_acessorios,45
relogios_presentes,67
moveis_decoracao,55
bebes,9
indefinido,43
esporte_lazer,32
cama_mesa_banho,13
eletroportateis,31
utilidades_domesticas,73
moveis_sala,58
esporte_lazer,32
casa_construcao,16
pet_shop,64
utilidades_domesticas,73
moveis_decoracao,55
cama_mesa_banho,13
cama_mesa_banho,13
telefonia,71
malas_acessorios,51
perfumaria,63
esporte_lazer,32
sinalizacao_e_seguranca,69
climatizacao,19
fashion_bolsas_e_acessorios,33
moveis_decoracao,55
esporte_lazer,32
telefonia,71
indefinido,43
artes,3
cama_mesa_banho,13
ferramentas_jardim,40
fashion_bolsas_e_acessorios,33
bebes,9
consoles_games,20
utilidades_domesticas,73
malas_acessorios,51
cama_mesa_banho,13
consoles_games,20
esporte_lazer,32
esporte_lazer,32
cool_stuff,26
consoles_games,20
relogios_presentes,67
brinquedos,12
indefinido,43
bebes,9
moveis_sala,58
automotivo,8
eletrodomesticos,28
relogios_presentes,67
cama_mesa_banho,13
automotivo,8
esporte_lazer,32
indefinido,43
brinquedos,12
beleza_saude,11
beleza_saude,11
utilidades_domesticas,73
ferramentas_jardim,40
esporte_lazer,32
telefonia,71
moveis_escritorio,56
relogios_presentes,67
esporte_lazer,32
fashion_bolsas_e_acessorios,33
automotivo,8
utilidades_domesticas,73
casa_construcao,16
fashion_bolsas_e_acessorios,33
utilidades_domesticas,73
informatica_acessorios,45
esporte_lazer,32
papelaria,60
esporte_lazer,32
telefonia,71
livros_interesse_geral,49
informatica_acessorios,45
perfumaria,63
brinquedos,12
construcao_ferramentas_ferramentas,22
brinquedos,12
telefonia,71
ferramentas_jardim,40
utilidades_domesticas,73
fashion_underwear_e_moda_praia,39
malas_acessorios,51
eletronicos,30
utilidades_domesticas,73
automotivo,8
fashion_calcados,34
esporte_lazer,32
construcao_ferramentas_construcao,21
beleza_saude,11
relogios_presentes,67
moveis_decoracao,55
moveis_decoracao,55
indefinido,43
cama_mesa_banho,13
cool_stuff,26
utilidades_domesticas,73
esporte_lazer,32
papelaria,60
papelaria,60
brinquedos,12
climatizacao,19
cama_mesa_banho,13
pet_shop,64
brinquedos,12
bebes,9
informatica_acessorios,45
cama_mesa_banho,13
perfumaria,63
eletronicos,30
brinquedos,12
fashion_roupa_masculina,38
pet_shop,64
bebes,9
beleza_saude,11
relogios_presentes,67
cama_mesa_banho,13
beleza_saude,11
brinquedos,12
utilidades_domesticas,73
malas_acessorios,51
esporte_lazer,32
papelaria,60
casa_construcao,16
relogios_presentes,67
cama_mesa_banho,13
cool_stuff,26
esporte_lazer,32
utilidades_domesticas,73
artes,3
beleza_saude,11
consoles_games,20
fashion_bolsas_e_acessorios,33
cama_mesa_banho,13
automotivo,8
informatica_acessorios,45
esporte_lazer,32
moveis_decoracao,55
utilidades_domesticas,73
construcao_ferramentas_ferramentas,22
indefinido,43
eletrodomesticos,28
ferramentas_jardim,40
moveis_cozinha_area_de_servico_jantar_e_jardim,54
utilidades_domesticas,73
brinquedos,12
beleza_saude,11
eletronicos,30
pet_shop,64
esporte_lazer,32
bebes,9
utilidades_domesticas,73
bebes,9
moveis_escritorio,56
malas_acessorios,51
eletronicos,30
beleza_saude,11
brinquedos,12
esporte_lazer,32
industria_comercio_e_negocios,44
informatica_acessorios,45
moveis_escritorio,56
telefonia,71
telefonia_fixa,72
cama_mesa_banho,13
fashion_calcados,34
cool_stuff,26
construcao_ferramentas_iluminacao,23
esporte_lazer,32
utilidades_domesticas,73
cama_mesa_banho,13
construcao_ferramentas_seguranca,25
cama_mesa_banho,13
automotivo,8
cama_mesa_banho,13
bebes,9
brinquedos,12
perfumaria,63
consoles_games,20
automotivo,8
informatica_acessorios,45
moveis_decoracao,55
relogios_presentes,67
automotivo,8
instrumentos_musicais,46
esporte_lazer,32
beleza_saude,11
consoles_games,20
beleza_saude,11
construcao_ferramentas_construcao,21
indefinido,43
informatica_acessorios,45
moveis_decoracao,55
fashion_bolsas_e_acessorios,33
moveis_decoracao,55
indefinido,43
moveis_decoracao,55
relogios_presentes,67
construcao_ferramentas_construcao,21
moveis_decoracao,55
malas_acessorios,51
moveis_decoracao,55
fashion_roupa_masculina,38
informatica_acessorios,45
pet_shop,64
ferramentas_jardim,40
fashion_calcados,34
cama_mesa_banho,13
ferramentas_jardim,40
climatizacao,19
moveis_decoracao,55
fashion_calcados,34
telefonia,71
automotivo,8
automotivo,8
automotivo,8
utilidades_domesticas,73
bebes,9
consoles_games,20
fashion_bolsas_e_acessorios,33
telefonia,71
beleza_saude,11
esporte_lazer,32
ferramentas_jardim,40
cama_mesa_banho,13
livros_tecnicos,50
esporte_lazer,32
esporte_lazer,32
beleza_saude,11
cool_stuff,26
perfumaria,63
beleza_saude,11
eletronicos,30
ferramentas_jardim,40
moveis_decoracao,55
eletrodomesticos_2,29
fashion_bolsas_e_acessorios,33
consoles_games,20
instrumentos_musicais,46
cama_mesa_banho,13
moveis_escritorio,56
bebes,9
cama_mesa_banho,13
indefinido,43
artigos_de_festas,5
fashion_bolsas_e_acessorios,33
malas_acessorios,51
malas_acessorios,51
fashion_bolsas_e_acessorios,33
beleza_saude,11
papelaria,60
cama_mesa_banho,13
telefonia,71
climatizacao,19
papelaria,60
relogios_presentes,67
cama_mesa_banho,13
papelaria,60
construcao_ferramentas_iluminacao,23
moveis_escritorio,56
bebes,9
esporte_lazer,32
esporte_lazer,32
esporte_lazer,32
telefonia,71
automotivo,8
papelaria,60
informatica_acessorios,45
relogios_presentes,67
bebes,9
perfumaria,63
cama_mesa_banho,13
cool_stuff,26
esporte_lazer,32
fashion_bolsas_e_acessorios,33
automotivo,8
esporte_lazer,32
beleza_saude,11
brinquedos,12
utilidades_domesticas,73
telefonia,71
ferramentas_jardim,40
moveis_decoracao,55
utilidades_domesticas,73
livros_interesse_geral,49
utilidades_domesticas,73
moveis_escritorio,56
cama_mesa_banho,13
moveis_decoracao,55
moveis_decoracao,55
cama_mesa_banho,13
ferramentas_jardim,40
informatica_acessorios,45
informatica_acessorios,45
utilidades_domesticas,73
bebidas,10
cama_mesa_banho,13
beleza_saude,11
telefonia,71
bebes,9
pet_shop,64
relogios_presentes,67
eletroportateis,31
esporte_lazer,32
cama_mesa_banho,13
beleza_saude,11
telefonia,71
market_place,52
automotivo,8
perfumaria,63
