cidade,referencia_cidade
abadia de goias,1
abadia dos dourados,2
abadiania,3
abaete,4
abaetetuba,5
abaiara,6
abaira,7
abare,8
abatia,9
abdon batista,10
abelardo luz,11
abrantes,12
abre campo,13
abreu e lima,14
acaiaca,15
acailandia,16
acajutiba,17
acarau,18
acari,19
acegua,20
acopiara,21
acreuna,22
acu,23
acucena,24
adamantina,25
adhemar de barros,26
adolfo,27
adrianopolis,28
adustina,29
afogados da ingazeira,30
afonso claudio,31
afranio,32
agisse,33
agrestina,34
agrolandia,35
agronomica,36
agua boa,37
agua branca,38
agua clara,39
agua comprida,40
agua doce,41
agua doce do norte,42
agua fria de goias,43
agua limpa,44
agua nova,45
agua preta,46
agua santa,47
aguai,48
aguas belas,49
aguas claras,50
aguas claras df,51
aguas da prata,52
aguas de lindoia,53
aguas de santa barbara,54
aguas de sao pedro,55
aguas formosas,56
aguas frias,57
aguas lindas de goias,58
aguas mornas,59
aguas vermelhas,60
agudo,61
agudos,62
aguia branca,63
aimores,64
aiuaba,65
aiuruoca,66
ajapi,67
ajuricaba,68
alagoa,69
alagoa grande,70
alagoa nova,71
alagoinha,72
alagoinhas,73
alambari,74
alcantara,75
alcinopolis,76
alcobaca,77
alegre,78
alegrete,79
alegrete do piaui,80
alegria,81
alem paraiba,82
alexandra,83
alexandria,84
alexandrita,85
alexania,86
alfenas,87
alfredo chaves,88
alfredo marcondes,89
alfredo vasconcelos,90
alfredo wagner,91
alhandra,92
alianca,93
alianca do tocantins,94
almas,95
almenara,96
almino afonso,97
almirante tamandare,98
almirante tamandare do sul,99
alpercata,100
alpestre,101
alpinopolis,102
alta floresta,103
alta floresta d'oeste,104
altamira,105
altamira do parana,106
altaneira,107
alterosa,108
altinho,109
altinopolis,110
alto alegre,111
alto alegre do iguacu,112
alto alegre do maranhao,113
alto alegre do pindare,114
alto araguaia,115
alto bela vista,116
alto boa vista,117
alto caparao,118
alto do rodrigues,119
alto garcas,120
alto horizonte,121
alto jequitiba,122
alto paraiso,123
alto paraiso de goias,124
alto parana,125
alto parnaiba,126
alto piquiri,127
alto rio doce,128
alto rio novo,129
alto santo,130
alto sao joao,131
alto taquari,132
altonia,133
altos,134
aluminio,135
alvarenga,136
alvares florence,137
alvares machado,138
alvaro de carvalho,139
alvinopolis,140
alvorada,141
alvorada d'oeste,142
alvorada do gurgueia,143
alvorada do norte,144
amambai,145
amanari,146
amapa do maranhao,147
amapora,148
amaraji,149
amarante,150
amargosa,151
amelia rodrigues,152
america dourada,153
americana,154
americano do brasil,155
americo brasiliense,156
americo de campos,157
ametista do sul,158
amontada,159
amparo,160
amparo da serra,161
ampere,162
anadia,163
anage,164
analandia,165
ananas,166
ananindeua,167
anapolis,168
anastacio,169
anaurilandia,170
anchieta,171
andarai,172
andira,173
andira-pr,174
andorinha,175
andradas,176
andradina,177
andre da rocha,178
andrelandia,179
andrequice,180
angatuba,181
angelica,182
angelina,183
angelo frechiani,184
angical,185
angical do piaui,186
angicos,187
angra dos reis,188
angra dos reis rj,189
anguera,190
angulo,191
angustura,192
anhandui,193
anhembi,194
anhumas,195
anicuns,196
anita garibaldi,197
anitapolis,198
anta,199
anta gorda,200
antonina,201
antonina do norte,202
antonio cardoso,203
antonio carlos,204
antonio goncalves,205
antonio martins,206
antonio pereira,207
antonio prado,208
antonio prado de minas,209
antunes,210
ao bernardo do campo,211
aparecida,212
aparecida d'oeste,213
aparecida de goiania,214
aparecida de monte alto,215
aparecida de sao manuel,216
aparecida do rio negro,217
aparecida do taboado,218
aperibe,219
apiaca,220
apiacas,221
apiai,222
apiuna,223
apodi,224
apora,225
apore,226
apuarema,227
apucarana,228
apuiares,229
aquidaba,230
aquidauana,231
aquiraz,232
aracaju,233
aracariguama,234
aracati,235
aracatu,236
aracatuba,237
arace,238
araci,239
aracitaba,240
aracoiaba,241
aracoiaba da serra,242
aracruz,243
aracuai,244
aragarcas,245
aragoiania,246
araguacu,247
araguaia,248
araguaina,249
araguana,250
araguapaz,251
araguari,252
araguatins,253
aramari,254
arame,255
aramina,256
arandu,257
arantina,258
arapei,259
arapiraca,260
arapoema,261
araponga,262
arapongas,263
arapora,264
arapoti,265
arapua,266
araputanga,267
araquari,268
arara,269
ararangua,270
araraquara,271
araras,272
arari,273
ararica,274
araripe,275
araripina,276
araruama,277
araruna,278
arataca,279
aratiba,280
aratuba,281
araucaria,282
araujos,283
araxa,284
arceburgo,285
arcos,286
arcoverde,287
areado,288
